date,site,yellow_tub,species_card,species,number,treatment,name,event,Y_II (PAM),n,int_mean,int_std_dev,int_mode,red_mean,red_std_dev,red_mode,green_mean,green_std_dev,green_mode,blue_mean,blue_std_dev,blue_mode
21_11_13,,1,32,chillensis,23,control,C_8,post_stress_4,0.247,,,,,,,,,,,,,
21_11_13,,1,15,cham,4,control,C_3,post_stress_4,0.419,,,,,,,,,,,,,
21_11_13,,1,15,calli ,47,control,C_3,post_stress_4,0.329,,,,,,,,,,,,,
21_11_13,,1,15,chillensis,6,control,C_3,post_stress_4,0.278,,,,,,,,,,,,,
21_11_13,,1,9,cham,28,low,L_3,post_stress_4,0.324,,,,,,,,,,,,,
21_11_13,,1,9,calli ,48,low,L_3,post_stress_4,0.29,,,,,,,,,,,,,
21_11_13,,1,9,chillensis,4,low,L_3,post_stress_4,0.287,,,,,,,,,,,,,
21_11_13,,1,14,cham,10,high,H_4,post_stress_4,0.272,,,,,,,,,,,,,
21_11_13,,1,14,calli ,35,high,H_4,post_stress_4,0.099,,,,,,,,,,,,,
21_11_13,,1,14,chillensis,25,high,H_4,post_stress_4,0.166,,,,,,,,,,,,,
21_11_13,,1,23,cham,22,control,C_5,post_stress_4,0.471,,,,,,,,,,,,,
21_11_13,,1,23,calli ,12,control,C_5,post_stress_4,0.232,,,,,,,,,,,,,
21_11_13,,1,23,chillensis,19,control,C_5,post_stress_4,0.386,,,,,,,,,,,,,
21_11_13,,1,6,cham,9**,high,H_2,post_stress_4,0.197,,,,,,,,,,,,,
21_11_13,,1,6,calli ,20,high,H_2,post_stress_4,0.174,,,,,,,,,,,,,
21_11_13,,1,6,chillensis,22,high,H_2,post_stress_4,0.13,,,,,,,,,,,,,
21_11_13,,1,7,cham,26,control,C_1,post_stress_4,0.276,,,,,,,,,,,,,
21_11_13,,1,7,calli ,39,control,C_1,post_stress_4,0.241,,,,,,,,,,,,,
21_11_13,,1,7,chillensis,10,control,C_1,post_stress_4,0.431,,,,,,,,,,,,,
21_11_13,,2,25,cham,17,low,L_7,post_stress_4,0.411,,,,,,,,,,,,,
21_11_13,,2,25,calli ,21,low,L_7,post_stress_4,0.184,,,,,,,,,,,,,
21_11_13,,2,25,chillensis,20,low,L_7,post_stress_4,0.259,,,,,,,,,,,,,
21_11_13,,2,20,cham,24**,mid,M_6,post_stress_4,0.318,,,,,,,,,,,,,
21_11_13,,2,20,calli ,45,mid,M_6,post_stress_4,0.171,,,,,,,,,,,,,
21_11_13,,2,20,chillensis,21,mid,M_6,post_stress_4,0.255,,,,,,,,,,,,,
21_11_13,,2,30,cham,1,high,H_8,post_stress_4,0.188,,,,,,,,,,,,,
21_11_13,,2,30,calli ,17,high,H_8,post_stress_4,0.097,,,,,,,,,,,,,
21_11_13,,2,30,chillensis,29,high,H_8,post_stress_4,0.161,,,,,,,,,,,,,
21_11_13,,2,2,cham,35,low,L_2,post_stress_4,0.297,,,,,,,,,,,,,
21_11_13,,2,2,calli ,16,low,L_2,post_stress_4,0.227,,,,,,,,,,,,,
21_11_13,,2,2,chillensis,16,low,L_2,post_stress_4,0.304,,,,,,,,,,,,,
21_11_13,,2,28,cham,27,mid,M_8,post_stress_4,0.293,,,,,,,,,,,,,
21_11_13,,2,28,calli ,8,mid,M_8,post_stress_4,0.19,,,,,,,,,,,,,
21_11_13,,2,28,chillensis,9,mid,M_8,post_stress_4,0.228,,,,,,,,,,,,,
21_11_13,,2,22,cham,16,high,H_6,post_stress_4,0.164,,,,,,,,,,,,,
21_11_13,,2,22,calli ,19,high,H_6,post_stress_4,0.108,,,,,,,,,,,,,
21_11_13,,2,22,chillensis,32,high,H_6,post_stress_4,0.177,,,,,,,,,,,,,
21_11_13,,2,1,cham,21,low,L_1,post_stress_4,0.342,,,,,,,,,,,,,
21_11_13,,2,1,calli ,31,low,L_1,post_stress_4,0.263,,,,,,,,,,,,,
21_11_13,,2,1,chillensis,18,low,L_1,post_stress_4,0.264,,,,,,,,,,,,,
21_11_13,,2,16,cham,23**,control,C_4,post_stress_4,0.357,,,,,,,,,,,,,
21_11_13,,2,16,calli ,11,control,C_4,post_stress_4,0.282,,,,,,,,,,,,,
21_11_13,,2,16,chillensis,30,control,C_4,post_stress_4,0.216,,,,,,,,,,,,,
21_11_13,,3,17,cham,29,low,L_5,post_stress_4,0.254,,,,,,,,,,,,,
21_11_13,,3,17,calli ,1,low,L_5,post_stress_4,0.255,,,,,,,,,,,,,
21_11_13,,3,17,chillensis,31,low,L_5,post_stress_4,0.315,,,,,,,,,,,,,
21_11_13,,3,11,cham,7,mid,M_3,post_stress_4,0.311,,,,,,,,,,,,,
21_11_13,,3,11,calli ,5,mid,M_3,post_stress_4,0.225,,,,,,,,,,,,,
21_11_13,,3,11,chillensis,3,mid,M_3,post_stress_4,0.154,,,,,,,,,,,,,
21_11_13,,3,26,cham,32,low,L_8,post_stress_4,0.347,,,,,,,,,,,,,
21_11_13,,3,26,calli ,37,low,L_8,post_stress_4,0.317,,,,,,,,,,,,,
21_11_13,,3,26,chillensis,24,low,L_8,post_stress_4,0.262,,,,,,,,,,,,,
21_11_13,,3,12,cham,13,mid,M_4,post_stress_4,0.207,,,,,,,,,,,,,
21_11_13,,3,12,calli ,27,mid,M_4,post_stress_4,0.173,,,,,,,,,,,,,
21_11_13,,3,12,chillensis,17,mid,M_4,post_stress_4,0.197,,,,,,,,,,,,,
21_11_13,,3,4,cham,3,mid,M_2,post_stress_4,0.194,,,,,,,,,,,,,
21_11_13,,3,4,calli ,23,mid,M_2,post_stress_4,0.157,,,,,,,,,,,,,
21_11_13,,3,4,chillensis,5,mid,M_2,post_stress_4,0.235,,,,,,,,,,,,,
21_11_13,,3,5,cham,34,high,H_1,post_stress_4,0.182,,,,,,,,,,,,,
21_11_13,,3,5,calli ,14,high,H_1,post_stress_4,0.085,,,,,,,,,,,,,
21_11_13,,3,5,chillensis,8,high,H_1,post_stress_4,0.149,,,,,,,,,,,,,
21_11_13,,3,13,cham,8,high,H_3,post_stress_4,0.269,,,,,,,,,,,,,
21_11_13,,3,13,calli ,18,high,H_3,post_stress_4,0.222,,,,,,,,,,,,,
21_11_13,,3,13,chillensis,7,high,H_3,post_stress_4,0.158,,,,,,,,,,,,,
21_11_13,,3,24,cham,18,control,C_6,post_stress_4,0.321,,,,,,,,,,,,,
21_11_13,,3,24,calli ,6,control,C_6,post_stress_4,0.182,,,,,,,,,,,,,
21_11_13,,3,24,chillensis,28,control,C_6,post_stress_4,0.275,,,,,,,,,,,,,
21_11_13,,4,21,cham,2,high,H_5,post_stress_4,0.227,,,,,,,,,,,,,
21_11_13,,4,21,calli ,32,high,H_5,post_stress_4,0.099,,,,,,,,,,,,,
21_11_13,,4,21,chillensis,1,high,H_5,post_stress_4,0.147,,,,,,,,,,,,,
21_11_13,,4,27,cham,30,mid,M_7,post_stress_4,0.264,,,,,,,,,,,,,
21_11_13,,4,27,calli ,26,mid,M_7,post_stress_4,0.16,,,,,,,,,,,,,
21_11_13,,4,27,chillensis,12,mid,M_7,post_stress_4,0.245,,,,,,,,,,,,,
21_11_13,,4,31,cham,39,control,C_7,post_stress_4,0.208,,,,,,,,,,,,,
21_11_13,,4,31,calli ,40,control,C_7,post_stress_4,0.204,,,,,,,,,,,,,
21_11_13,,4,31,chillensis,11,control,C_7,post_stress_4,0.321,,,,,,,,,,,,,
21_11_13,,4,3,cham,31,mid,M_1,post_stress_4,0.261,,,,,,,,,,,,,
21_11_13,,4,3,calli ,33,mid,M_1,post_stress_4,0.157,,,,,,,,,,,,,
21_11_13,,4,3,chillensis,2,mid,M_1,post_stress_4,0.221,,,,,,,,,,,,,
21_11_13,,4,18,cham,19,low,L_6,post_stress_4,0.414,,,,,,,,,,,,,
21_11_13,,4,18,calli ,38,low,L_6,post_stress_4,0.222,,,,,,,,,,,,,
21_11_13,,4,18,chillensis,13,low,L_6,post_stress_4,0.318,,,,,,,,,,,,,
21_11_13,,4,8,cham,36,control,C_2,post_stress_4,0.372,,,,,,,,,,,,,
21_11_13,,4,8,calli ,29,control,C_2,post_stress_4,0.257,,,,,,,,,,,,,
21_11_13,,4,8,chillensis,14,control,C_2,post_stress_4,0.255,,,,,,,,,,,,,
21_11_13,,4,19,cham,11,mid,M_5,post_stress_4,0.333,,,,,,,,,,,,,
21_11_13,,4,19,calli ,13,mid,M_5,post_stress_4,0.146,,,,,,,,,,,,,
21_11_13,,4,19,chillensis,15,mid,M_5,post_stress_4,0.232,,,,,,,,,,,,,
21_11_13,,4,29,cham,33,high,H_7,post_stress_4,0.217,,,,,,,,,,,,,
21_11_13,,4,29,calli ,3,high,H_7,post_stress_4,0.107,,,,,,,,,,,,,
21_11_13,,4,29,chillensis,27,high,H_7,post_stress_4,0.168,,,,,,,,,,,,,
21_11_14,,1,10,cham,25,low,L_4,post_stress_5,0.307,,,,,,,,,,,,,
21_11_14,,1,10,calli ,46,low,L_4,post_stress_5,0.073,,,,,,,,,,,,,
21_11_14,,1,10,chillensis,26,low,L_4,post_stress_5,0.271,,,,,,,,,,,,,
21_11_14,,1,32,cham,6,control,C_8,post_stress_5,0.339,,,,,,,,,,,,,
21_11_14,,1,32,calli ,4,control,C_8,post_stress_5,0.156,,,,,,,,,,,,,
21_11_14,,1,32,chillensis,23,control,C_8,post_stress_5,0.29,,,,,,,,,,,,,
21_11_14,,1,15,cham,4,control,C_3,post_stress_5,0.385,,,,,,,,,,,,,
21_11_14,,1,15,calli ,47,control,C_3,post_stress_5,0.22,,,,,,,,,,,,,
21_11_14,,1,15,chillensis,6,control,C_3,post_stress_5,0.348,,,,,,,,,,,,,
21_11_14,,1,9,cham,28,low,L_3,post_stress_5,0.273,,,,,,,,,,,,,
21_11_14,,1,9,calli ,48,low,L_3,post_stress_5,0.258,,,,,,,,,,,,,
21_11_14,,1,9,chillensis,4,low,L_3,post_stress_5,0.239,,,,,,,,,,,,,
21_11_14,,1,14,cham,10,high,H_4,post_stress_5,0.264,,,,,,,,,,,,,
21_11_14,,1,14,calli ,35,high,H_4,post_stress_5,0.154,,,,,,,,,,,,,
21_11_14,,1,14,chillensis,25,high,H_4,post_stress_5,0.223,,,,,,,,,,,,,
21_11_14,,1,23,cham,22,control,C_5,post_stress_5,0.53,,,,,,,,,,,,,
21_11_14,,1,23,calli ,12,control,C_5,post_stress_5,0.293,,,,,,,,,,,,,
21_11_14,,1,23,chillensis,19,control,C_5,post_stress_5,0.282,,,,,,,,,,,,,
21_11_14,,1,6,cham,9**,high,H_2,post_stress_5,0.207,,,,,,,,,,,,,
21_11_14,,1,6,calli ,20,high,H_2,post_stress_5,0.126,,,,,,,,,,,,,
21_11_14,,1,6,chillensis,22,high,H_2,post_stress_5,0.204,,,,,,,,,,,,,
21_11_14,,1,7,cham,26,control,C_1,post_stress_5,0.363,,,,,,,,,,,,,
21_11_14,,1,7,calli ,39,control,C_1,post_stress_5,0.283,,,,,,,,,,,,,
21_11_14,,1,7,chillensis,10,control,C_1,post_stress_5,0.272,,,,,,,,,,,,,
21_11_14,,2,25,cham,17,low,L_7,post_stress_5,0.181,,,,,,,,,,,,,
21_11_14,,2,25,calli ,21,low,L_7,post_stress_5,0.249,,,,,,,,,,,,,
21_11_14,,2,25,chillensis,20,low,L_7,post_stress_5,0.268,,,,,,,,,,,,,
21_11_14,,2,20,cham,24**,mid,M_6,post_stress_5,0.343,,,,,,,,,,,,,
21_11_14,,2,20,calli ,45,mid,M_6,post_stress_5,0.18,,,,,,,,,,,,,
21_11_14,,2,20,chillensis,21,mid,M_6,post_stress_5,0.178,,,,,,,,,,,,,
21_11_14,,2,30,cham,1,high,H_8,post_stress_5,0.294,,,,,,,,,,,,,
21_11_14,,2,30,calli ,17,high,H_8,post_stress_5,0.153,,,,,,,,,,,,,
21_11_14,,2,30,chillensis,29,high,H_8,post_stress_5,0.118,,,,,,,,,,,,,
21_11_14,,2,2,cham,35,low,L_2,post_stress_5,0.282,,,,,,,,,,,,,
21_11_14,,2,2,calli ,16,low,L_2,post_stress_5,0.258,,,,,,,,,,,,,
21_11_14,,2,2,chillensis,16,low,L_2,post_stress_5,0.378,,,,,,,,,,,,,
21_11_14,,2,28,cham,27,mid,M_8,post_stress_5,0.293,,,,,,,,,,,,,
21_11_14,,2,28,calli ,8,mid,M_8,post_stress_5,0.091,,,,,,,,,,,,,
21_11_14,,2,28,chillensis,9,mid,M_8,post_stress_5,0.186,,,,,,,,,,,,,
21_11_14,,2,22,cham,16,high,H_6,post_stress_5,0.206,,,,,,,,,,,,,
21_11_14,,2,22,calli ,19,high,H_6,post_stress_5,0.141,,,,,,,,,,,,,
21_11_14,,2,22,chillensis,32,high,H_6,post_stress_5,0.258,,,,,,,,,,,,,
21_11_14,,2,1,cham,21,low,L_1,post_stress_5,0.356,,,,,,,,,,,,,
21_11_14,,2,1,calli ,31,low,L_1,post_stress_5,0.245,,,,,,,,,,,,,
21_11_14,,2,1,chillensis,18,low,L_1,post_stress_5,0.312,,,,,,,,,,,,,
21_11_14,,2,16,cham,23**,control,C_4,post_stress_5,0.429,,,,,,,,,,,,,
21_11_14,,2,16,calli ,11,control,C_4,post_stress_5,0.188,,,,,,,,,,,,,
21_11_14,,2,16,chillensis,30,control,C_4,post_stress_5,0.264,,,,,,,,,,,,,
21_11_14,,3,17,cham,29,low,L_5,post_stress_5,0.227,,,,,,,,,,,,,
21_11_14,,3,17,calli ,1,low,L_5,post_stress_5,0.215,,,,,,,,,,,,,
21_11_14,,3,17,chillensis,31,low,L_5,post_stress_5,0.368,,,,,,,,,,,,,
21_11_14,,3,11,cham,7,mid,M_3,post_stress_5,0.251,,,,,,,,,,,,,
21_11_14,,3,11,calli ,5,mid,M_3,post_stress_5,0.144,,,,,,,,,,,,,
21_11_14,,3,11,chillensis,3,mid,M_3,post_stress_5,0.212,,,,,,,,,,,,,
21_11_14,,3,26,cham,32,low,L_8,post_stress_5,0.252,,,,,,,,,,,,,
21_11_14,,3,26,calli ,37,low,L_8,post_stress_5,0.223,,,,,,,,,,,,,
21_11_14,,3,26,chillensis,24,low,L_8,post_stress_5,0.238,,,,,,,,,,,,,
21_11_14,,3,12,cham,13,mid,M_4,post_stress_5,0.268,,,,,,,,,,,,,
21_11_14,,3,12,calli ,27,mid,M_4,post_stress_5,0.24,,,,,,,,,,,,,
21_11_14,,3,12,chillensis,17,mid,M_4,post_stress_5,0.155,,,,,,,,,,,,,
21_11_14,,3,4,cham,3,mid,M_2,post_stress_5,0.218,,,,,,,,,,,,,
21_11_14,,3,4,calli ,23,mid,M_2,post_stress_5,0.125,,,,,,,,,,,,,
21_11_14,,3,4,chillensis,5,mid,M_2,post_stress_5,0.226,,,,,,,,,,,,,
21_11_14,,3,5,cham,34,high,H_1,post_stress_5,0.269,,,,,,,,,,,,,
21_11_14,,3,5,calli ,14,high,H_1,post_stress_5,0.103,,,,,,,,,,,,,
21_11_14,,3,5,chillensis,8,high,H_1,post_stress_5,0.182,,,,,,,,,,,,,
21_11_14,,3,13,cham,8,high,H_3,post_stress_5,0.288,,,,,,,,,,,,,
21_11_14,,3,13,calli ,18,high,H_3,post_stress_5,0.236,,,,,,,,,,,,,
21_11_14,,3,13,chillensis,7,high,H_3,post_stress_5,0.154,,,,,,,,,,,,,
21_11_14,,3,24,cham,18,control,C_6,post_stress_5,0.304,,,,,,,,,,,,,
21_11_14,,3,24,calli ,6,control,C_6,post_stress_5,0.21,,,,,,,,,,,,,
21_11_14,,3,24,chillensis,28,control,C_6,post_stress_5,0.363,,,,,,,,,,,,,
21_11_14,,4,21,cham,2,high,H_5,post_stress_5,0.246,,,,,,,,,,,,,
21_11_14,,4,21,calli ,32,high,H_5,post_stress_5,0.115,,,,,,,,,,,,,
21_11_14,,4,21,chillensis,1,high,H_5,post_stress_5,0.172,,,,,,,,,,,,,
21_11_14,,4,27,cham,30,mid,M_7,post_stress_5,0.229,,,,,,,,,,,,,
21_11_14,,4,27,calli ,26,mid,M_7,post_stress_5,0.187,,,,,,,,,,,,,
21_11_14,,4,27,chillensis,12,mid,M_7,post_stress_5,0.181,,,,,,,,,,,,,
21_11_14,,4,31,cham,39,control,C_7,post_stress_5,0.264,,,,,,,,,,,,,
21_11_14,,4,31,calli ,40,control,C_7,post_stress_5,0.286,,,,,,,,,,,,,
21_11_14,,4,31,chillensis,11,control,C_7,post_stress_5,0.291,,,,,,,,,,,,,
21_11_14,,4,3,cham,31,mid,M_1,post_stress_5,0.276,,,,,,,,,,,,,
21_11_14,,4,3,calli ,33,mid,M_1,post_stress_5,0.169,,,,,,,,,,,,,
21_11_14,,4,3,chillensis,2,mid,M_1,post_stress_5,0.212,,,,,,,,,,,,,
21_11_14,,4,18,cham,19,low,L_6,post_stress_5,0.363,,,,,,,,,,,,,
21_11_14,,4,18,calli ,38,low,L_6,post_stress_5,0.217,,,,,,,,,,,,,
21_11_14,,4,18,chillensis,13,low,L_6,post_stress_5,0.239,,,,,,,,,,,,,
21_11_14,,4,8,cham,36,control,C_2,post_stress_5,0.358,,,,,,,,,,,,,
21_11_14,,4,8,calli ,29,control,C_2,post_stress_5,0.302,,,,,,,,,,,,,
21_11_14,,4,8,chillensis,14,control,C_2,post_stress_5,0.264,,,,,,,,,,,,,
21_11_14,,4,19,cham,11,mid,M_5,post_stress_5,0.305,,,,,,,,,,,,,
21_11_14,,4,19,calli ,13,mid,M_5,post_stress_5,0.098,,,,,,,,,,,,,
21_11_14,,4,19,chillensis,15,mid,M_5,post_stress_5,0.201,,,,,,,,,,,,,
21_11_14,,4,29,cham,33,high,H_7,post_stress_5,0.215,,,,,,,,,,,,,
21_11_14,,4,29,calli ,3,high,H_7,post_stress_5,0.101,,,,,,,,,,,,,
21_11_14,,4,29,chillensis,27,high,H_7,post_stress_5,0.224,,,,,,,,,,,,,
21_11_15,,1,10,cham,25,low,L_4,post_stress_6,0.39,,,,,,,,,,,,,
21_11_15,,1,10,calli ,46,low,L_4,post_stress_6,0.142,,,,,,,,,,,,,
21_11_15,,1,10,chillensis,26,low,L_4,post_stress_6,0.221,,,,,,,,,,,,,
21_11_15,,1,32,cham,6,control,C_8,post_stress_6,0.29,,,,,,,,,,,,,
21_11_15,,1,32,calli ,4,control,C_8,post_stress_6,0.156,,,,,,,,,,,,,
21_11_15,,1,32,chillensis,23,control,C_8,post_stress_6,0.331,,,,,,,,,,,,,
21_11_15,,1,15,cham,4,control,C_3,post_stress_6,0.448,,,,,,,,,,,,,
21_11_15,,1,15,calli ,47,control,C_3,post_stress_6,0.271,,,,,,,,,,,,,
21_11_15,,1,15,chillensis,6,control,C_3,post_stress_6,0.287,,,,,,,,,,,,,
21_11_15,,1,9,cham,28,low,L_3,post_stress_6,0.31,,,,,,,,,,,,,
21_11_15,,1,9,calli ,48,low,L_3,post_stress_6,0.192,,,,,,,,,,,,,
21_11_15,,1,9,chillensis,4,low,L_3,post_stress_6,0.266,,,,,,,,,,,,,
21_11_15,,1,14,cham,10,high,H_4,post_stress_6,0.284,,,,,,,,,,,,,
21_11_15,,1,14,calli ,35,high,H_4,post_stress_6,0.14,,,,,,,,,,,,,
21_11_15,,1,14,chillensis,25,high,H_4,post_stress_6,0.17,,,,,,,,,,,,,
21_11_15,,1,23,cham,22,control,C_5,post_stress_6,0.48,,,,,,,,,,,,,
21_11_15,,1,23,calli ,12,control,C_5,post_stress_6,0.246,,,,,,,,,,,,,
21_11_15,,1,23,chillensis,19,control,C_5,post_stress_6,0.343,,,,,,,,,,,,,
21_11_15,,1,6,cham,9**,high,H_2,post_stress_6,0.246,,,,,,,,,,,,,
21_11_15,,1,6,calli ,20,high,H_2,post_stress_6,0.179,,,,,,,,,,,,,
21_11_15,,1,6,chillensis,22,high,H_2,post_stress_6,0.229,,,,,,,,,,,,,
21_11_15,,1,7,cham,26,control,C_1,post_stress_6,0.332,,,,,,,,,,,,,
21_11_15,,1,7,calli ,39,control,C_1,post_stress_6,0.372,,,,,,,,,,,,,
21_11_15,,1,7,chillensis,10,control,C_1,post_stress_6,0.285,,,,,,,,,,,,,
21_11_15,,2,25,cham,17,low,L_7,post_stress_6,0.364,,,,,,,,,,,,,
21_11_15,,2,25,calli ,21,low,L_7,post_stress_6,0.174,,,,,,,,,,,,,
21_11_15,,2,25,chillensis,20,low,L_7,post_stress_6,0.313,,,,,,,,,,,,,
21_11_15,,2,20,cham,24**,mid,M_6,post_stress_6,0.284,,,,,,,,,,,,,
21_11_15,,2,20,calli ,45,mid,M_6,post_stress_6,0.187,,,,,,,,,,,,,
21_11_15,,2,20,chillensis,21,mid,M_6,post_stress_6,0.175,,,,,,,,,,,,,
21_11_15,,2,30,cham,1,high,H_8,post_stress_6,0.203,,,,,,,,,,,,,
21_11_15,,2,30,calli ,17,high,H_8,post_stress_6,0.162,,,,,,,,,,,,,
21_11_15,,2,30,chillensis,29,high,H_8,post_stress_6,0.173,,,,,,,,,,,,,
21_11_15,,2,2,cham,35,low,L_2,post_stress_6,0.29,,,,,,,,,,,,,
21_11_15,,2,2,calli ,16,low,L_2,post_stress_6,0.236,,,,,,,,,,,,,
21_11_15,,2,2,chillensis,16,low,L_2,post_stress_6,0.257,,,,,,,,,,,,,
21_11_15,,2,28,cham,27,mid,M_8,post_stress_6,0.267,,,,,,,,,,,,,
21_11_15,,2,28,calli ,8,mid,M_8,post_stress_6,0.19,,,,,,,,,,,,,
21_11_15,,2,28,chillensis,9,mid,M_8,post_stress_6,0.198,,,,,,,,,,,,,
21_11_15,,2,22,cham,16,high,H_6,post_stress_6,0.184,,,,,,,,,,,,,
21_11_15,,2,22,calli ,19,high,H_6,post_stress_6,0.162,,,,,,,,,,,,,
21_11_15,,2,22,chillensis,32,high,H_6,post_stress_6,0.217,,,,,,,,,,,,,
21_11_15,,2,1,cham,21,low,L_1,post_stress_6,0.344,,,,,,,,,,,,,
21_11_15,,2,1,calli ,31,low,L_1,post_stress_6,0.298,,,,,,,,,,,,,
21_11_15,,2,1,chillensis,18,low,L_1,post_stress_6,0.302,,,,,,,,,,,,,
21_11_15,,2,16,cham,23**,control,C_4,post_stress_6,0.387,,,,,,,,,,,,,
21_11_15,,2,16,calli ,11,control,C_4,post_stress_6,0.242,,,,,,,,,,,,,
21_11_15,,2,16,chillensis,30,control,C_4,post_stress_6,0.26,,,,,,,,,,,,,
21_11_15,,3,17,cham,29,low,L_5,post_stress_6,0.258,,,,,,,,,,,,,
21_11_15,,3,17,calli ,1,low,L_5,post_stress_6,0.224,,,,,,,,,,,,,
21_11_15,,3,17,chillensis,31,low,L_5,post_stress_6,0.327,,,,,,,,,,,,,
21_11_15,,3,11,cham,7,mid,M_3,post_stress_6,0.337,,,,,,,,,,,,,
21_11_15,,3,11,calli ,5,mid,M_3,post_stress_6,0.138,,,,,,,,,,,,,
21_11_15,,3,11,chillensis,3,mid,M_3,post_stress_6,0.204,,,,,,,,,,,,,
21_11_15,,3,26,cham,32,low,L_8,post_stress_6,0.25,,,,,,,,,,,,,
21_11_15,,3,26,calli ,37,low,L_8,post_stress_6,0.206,,,,,,,,,,,,,
21_11_15,,3,26,chillensis,24,low,L_8,post_stress_6,0.3,,,,,,,,,,,,,
21_11_15,,3,12,cham,13,mid,M_4,post_stress_6,0.22,,,,,,,,,,,,,
21_11_15,,3,12,calli ,27,mid,M_4,post_stress_6,0.219,,,,,,,,,,,,,
21_11_15,,3,12,chillensis,17,mid,M_4,post_stress_6,0.182,,,,,,,,,,,,,
21_11_15,,3,4,cham,3,mid,M_2,post_stress_6,0.124,,,,,,,,,,,,,
21_11_15,,3,4,calli ,23,mid,M_2,post_stress_6,0.181,,,,,,,,,,,,,
21_11_15,,3,4,chillensis,5,mid,M_2,post_stress_6,0.312,,,,,,,,,,,,,
21_11_15,,3,5,cham,34,high,H_1,post_stress_6,0.229,,,,,,,,,,,,,
21_11_15,,3,5,calli ,14,high,H_1,post_stress_6,0.149,,,,,,,,,,,,,
21_11_15,,3,5,chillensis,8,high,H_1,post_stress_6,0.198,,,,,,,,,,,,,
21_11_15,,3,13,cham,8,high,H_3,post_stress_6,0.289,,,,,,,,,,,,,
21_11_15,,3,13,calli ,18,high,H_3,post_stress_6,0.225,,,,,,,,,,,,,
21_11_15,,3,13,chillensis,7,high,H_3,post_stress_6,0.164,,,,,,,,,,,,,
21_11_15,,3,24,cham,18,control,C_6,post_stress_6,0.262,,,,,,,,,,,,,
21_11_15,,3,24,calli ,6,control,C_6,post_stress_6,0.134,,,,,,,,,,,,,
21_11_15,,3,24,chillensis,28,control,C_6,post_stress_6,0.261,,,,,,,,,,,,,
21_11_15,,4,21,cham,2,high,H_5,post_stress_6,0.233,,,,,,,,,,,,,
21_11_15,,4,21,calli ,32,high,H_5,post_stress_6,0.152,,,,,,,,,,,,,
21_11_15,,4,21,chillensis,1,high,H_5,post_stress_6,0.102,,,,,,,,,,,,,
21_11_15,,4,27,cham,30,mid,M_7,post_stress_6,0.26,,,,,,,,,,,,,
21_11_15,,4,27,calli ,26,mid,M_7,post_stress_6,0.177,,,,,,,,,,,,,
21_11_15,,4,27,chillensis,12,mid,M_7,post_stress_6,0.168,,,,,,,,,,,,,
21_11_15,,4,31,cham,39,control,C_7,post_stress_6,0.327,,,,,,,,,,,,,
21_11_15,,4,31,calli ,40,control,C_7,post_stress_6,0.252,,,,,,,,,,,,,
21_11_15,,4,31,chillensis,11,control,C_7,post_stress_6,0.337,,,,,,,,,,,,,
21_11_15,,4,3,cham,31,mid,M_1,post_stress_6,0.248,,,,,,,,,,,,,
21_11_15,,4,3,calli ,33,mid,M_1,post_stress_6,0.143,,,,,,,,,,,,,
21_11_15,,4,3,chillensis,2,mid,M_1,post_stress_6,0.239,,,,,,,,,,,,,
21_11_15,,4,18,cham,19,low,L_6,post_stress_6,0.401,,,,,,,,,,,,,
21_11_15,,4,18,calli ,38,low,L_6,post_stress_6,0.188,,,,,,,,,,,,,
21_11_15,,4,18,chillensis,13,low,L_6,post_stress_6,0.144,,,,,,,,,,,,,
21_11_15,,4,8,cham,36,control,C_2,post_stress_6,0.319,,,,,,,,,,,,,
21_11_15,,4,8,calli ,29,control,C_2,post_stress_6,0.279,,,,,,,,,,,,,
21_11_15,,4,8,chillensis,14,control,C_2,post_stress_6,0.231,,,,,,,,,,,,,
21_11_15,,4,19,cham,11,mid,M_5,post_stress_6,0.324,,,,,,,,,,,,,
21_11_15,,4,19,calli ,13,mid,M_5,post_stress_6,0.109,,,,,,,,,,,,,
21_11_15,,4,19,chillensis,15,mid,M_5,post_stress_6,0.191,,,,,,,,,,,,,
21_11_15,,4,29,cham,33,high,H_7,post_stress_6,0.229,,,,,,,,,,,,,
21_11_15,,4,29,calli ,3,high,H_7,post_stress_6,0.153,,,,,,,,,,,,,
21_11_15,,4,29,chillensis,27,high,H_7,post_stress_6,0.22,,,,,,,,,,,,,
21_11_16,,1,10,cham,25,low,L_4,post_stress_7,0.381,80269,38.163,18.284,34(3113),45.49,18.785,44(2948),37.485,18.564,35(3191),31.556,17.89,28(3366)
21_11_16,,1,10,calli ,46,low,L_4,post_stress_7,0.167,410154,60.393,25.252,51(7420),81.245,27.513,64(6532),54.327,26.44,35(7533),45.658,23.08,35(8922)
21_11_16,,1,10,chillensis,26,low,L_4,post_stress_7,0.252,148563,65.599,36.566,44(2807),82.291,35.814,63(2689),62.369,39.252,34(2757),52.139,35.399,29(3207)
21_11_16,,1,32,cham,6,control,C_8,post_stress_7,0.292,131163,37.556,19.806,24(4497),43.647,20.138,39(3936),35.793,20.434,22(5415),33.178,19.18,20(4880)
21_11_16,,1,32,calli ,4,control,C_8,post_stress_7,0.17,125542,74.975,29.16,67(2393),98.184,29.987,97(2163),66.197,31.173,53(2340),60.59,27.68,51(2520)
